DAP,median,q25,q75,mean,std
5.600000000000000000e+01,9.697752515665690742e-01,9.683964107439002600e-01,1.349517962780476532e+00,1.222017831827394874e+00,3.586766202763040368e-01
5.700000000000000000e+01,1.078173295995168868e+00,1.070359286308953939e+00,1.480813741695364616e+00,1.341390920004489118e+00,3.833497081763933556e-01
5.800000000000000000e+01,1.140987109773411889e+00,1.131394506270540390e+00,1.557745387862804698e+00,1.412430892831092910e+00,3.975226364665706558e-01
5.900000000000000000e+01,1.317050267974282596e+00,1.194559372040782996e+00,1.678601594739249414e+00,1.476423888528594075e+00,4.109718859413736824e-01
6.000000000000000000e+01,1.322314747358718678e+00,1.271385232003634957e+00,1.643533391477149053e+00,1.502507499867616447e+00,3.294908432132561127e-01
6.100000000000000000e+01,1.523220283771277828e+00,1.391568737422456792e+00,1.783383982346878227e+00,1.608895051922464070e+00,3.256013007534460657e-01
6.200000000000000000e+01,1.465684672922161091e+00,1.439292904804637452e+00,1.723724849481873544e+00,1.620116945216953708e+00,2.566301180005625682e-01
6.300000000000000000e+01,1.463517442905854615e+00,1.451048365029179887e+00,1.785827500129274714e+00,1.670078095803684937e+00,3.099220835334271507e-01
6.400000000000000000e+01,1.536778446602852899e+00,1.517839991492753393e+00,1.869722024229241830e+00,1.746115194947045923e+00,3.232000109511684038e-01
6.500000000000000000e+01,1.547742396537422405e+00,1.513124131096685199e+00,1.905859083381463703e+00,1.763408010806291726e+00,3.550816672537965291e-01
6.600000000000000000e+01,1.636335623769779701e+00,1.569617458985471892e+00,1.970772657125067440e+00,1.814814869483766246e+00,3.510143623437587124e-01
6.700000000000000000e+01,1.731613870990976745e+00,1.713511234188630272e+00,2.129807433490390700e+00,1.985007821455688548e+00,3.842385510349663469e-01
6.800000000000000000e+01,1.846908339387562714e+00,1.810146870006075659e+00,2.209700844541414355e+00,2.064262363235805697e+00,3.606248811246512420e-01
6.900000000000000000e+01,1.931216243900636176e+00,1.810670367516556523e+00,2.251773767799887693e+00,2.064557342244084381e+00,3.722965629012214839e-01
7.000000000000000000e+01,2.031163548089459425e+00,1.897966097387767004e+00,2.328644241262048276e+00,2.140685709736723563e+00,3.600740586137923804e-01
7.100000000000000000e+01,1.937834812331338252e+00,1.841267126833131318e+00,2.377204047096750372e+00,2.166369178509475191e+00,4.664756870370165842e-01
7.200000000000000000e+01,2.065787320033037666e+00,1.953692745937811281e+00,2.468360650595227135e+00,2.259439824344346537e+00,4.419721117928794851e-01
7.300000000000000000e+01,2.092530016680318905e+00,2.004033108066576752e+00,2.489429991736825443e+00,2.298132060975495161e+00,4.221486982415522116e-01
7.400000000000000000e+01,2.150764099791634187e+00,2.020735845745560422e+00,2.550463066206928975e+00,2.330544574704448202e+00,4.508153298692160194e-01
7.500000000000000000e+01,2.224762775693478023e+00,2.053642713727018343e+00,2.560679947545867918e+00,2.334627515617431204e+00,4.212200155798148105e-01
7.600000000000000000e+01,2.282822967132053016e+00,2.097621590661378210e+00,2.637684574824736394e+00,2.395929787946725842e+00,4.481539107267604738e-01
7.700000000000000000e+01,2.344542854820066857e+00,2.149213058788486563e+00,2.724361983928147435e+00,2.467535743537733861e+00,4.775923813571879561e-01
7.800000000000000000e+01,2.443130970259559831e+00,2.217918533971031891e+00,2.812909674486345324e+00,2.539508482218398200e+00,4.905649300553023284e-01
7.900000000000000000e+01,2.520178271770005196e+00,2.257682517291699220e+00,2.852918369521124209e+00,2.567007833951880702e+00,4.871348038615863074e-01
8.000000000000000000e+01,2.556666966163982480e+00,2.293946710683172796e+00,2.818176669018228608e+00,2.555859931079606628e+00,4.280323490074047776e-01
8.100000000000000000e+01,2.549760891289753140e+00,2.324361589565503650e+00,2.814999581586031585e+00,2.576320483671106221e+00,4.010442188209284997e-01
8.200000000000000000e+01,2.535230495171895360e+00,2.343487359670973991e+00,2.863237135827363389e+00,2.626072831941593133e+00,4.292078575134671281e-01
8.300000000000000000e+01,2.633065775988242763e+00,2.434344633820696213e+00,2.924140169646566978e+00,2.694634610315427725e+00,4.022790970916071962e-01
